Query Name,Top Hit,E-Value,Bit Score,Sequence Count,Total As,Total Ts,Total Cs,Total Gs,Total Ns  
LKAP-Gut2_B05_045.seq, Sedimentitalea_nanhaiensis, 0, 1093.7, 1084, 275, 231, 243, 335, 0
LKAP-Gut2_D07_057.seq, Pseudophaeobacter_arcticus, 0, 1083.7, 1084, 274, 226, 248, 336, 0
LKAP-Gut2_C10_076.seq, Shewanella_pneumatophori, 0, 1075.7, 1065, 275, 218, 238, 334, 0
LKAP-Gut2_C03_027.seq, Photobacterium_damselae, 0, 1201.8, 1077, 272, 231, 229, 345, 0
LKAP-Gut2_B09_077.seq, Kiloniella_laminariae, 0, 1110.3, 1057, 272, 229, 229, 327, 0
LKAP-Gut2_E07_055.seq, Sedimentitalea_nanhaiensis, 0, 1083.1, 1037, 262, 222, 234, 319, 0
LKAP-Gut2_C04_028.seq, Shewanella_fidelis, 0, 1118.0, 1092, 273, 230, 245, 344, 0
LKAP-Gut2_B07_061.seq, Vibrio_tubiashii, 0, 1291.3, 1077, 271, 227, 236, 343, 0
LKAP-Gut2_E05_039.seq, Vibrio_tubiashii, 0, 1302.9, 1091, 269, 229, 239, 354, 0
LKAP-Gut2_A04_032.seq, Pseudoalteromonas_gelatinilytica, 0, 1070.2, 1072, 278, 232, 229, 333, 0
LKAP-Gut2_F07_053.seq, Sedimentitalea_nanhaiensis, 0, 1021.1, 983, 250, 210, 218, 305, 0
LKAP-Gut2_G04_020.seq, Algibacter_aquimarinus, 3.7e-299, 985.0, 1075, 294, 248, 222, 311, 0
LKAP-Gut2_F12_086.seq, Thalassobius_mediterraneus, 9.3e-294, 966.6, 1012, 253, 214, 229, 316, 0
LKAP-Gut2_A01_015.seq, Sedimentitalea_nanhaiensis, 0, 1078.9, 1049, 263, 226, 240, 320, 0
LKAP-Gut2_A09_079.seq, Shewanella_gaetbuli, 0, 1054.5, 1043, 261, 223, 224, 335, 0
LKAP-Gut2_C12_092.seq, Thalassobius_mediterraneus, 1.9e-287, 945.7, 1009, 255, 213, 223, 318, 0
LKAP-Gut2_E08_56.seq, Thalassobius_aestuarii, 6.6e-308, 1013.4, 1074, 267, 227, 245, 335, 0
LKAP-Gut2_G11_083.seq, Shewanella_pneumatophori, 0, 1072.9, 1038, 268, 211, 228, 331, 0
LKAP-Gut2_B06_046.seq, Sedimentitalea_nanhaiensis, 0, 1109.2, 1081, 275, 229, 242, 335, 0
LKAP-Gut2_G02_004.seq, Algibacter_aquimarinus, 2.5e-294, 969.0, 1057, 288, 242, 220, 307, 0
LKAP-Gut2_A08_064.seq, Thalassospira_xianhensis, 0, 1090.3, 1055, 262, 220, 239, 334, 0
LKAP-Gut2_C02_012.seq, Shewanella_fidelis, 0, 1088.5, 1079, 270, 220, 241, 348, 0
LKAP-Gut2_B11_093.seq, Vibrio_tubiashii, 0, 1219.8, 1024, 262, 214, 218, 330, 0
LKAP-Gut2_D09_073.seq, Vibrio_tubiashii, 0, 1302.6, 1071, 268, 225, 233, 345, 0
LKAP-Gut2_D04_026.seq, Colwellia_psychrerythraea, 0, 1070.7, 1095, 285, 238, 233, 339, 0
LKAP-Gut2_C07_059.seq, Tenacibaculum_ascidiaceicola, 0, 1115.5, 1079, 302, 265, 212, 300, 0
LKAP-Gut2_H06_034.seq, Shewanella_pneumatophori, 0, 1114.1, 1063, 272, 218, 234, 339, 0
LKAP-Gut2_C11_091.seq, Hwangdonia_seohaensis, 5.3e-16, 44.6, 1106, 287, 282, 260, 277, 0
LKAP-Gut2_B04_030.seq, Vibrio_tubiashii, 0, 1302.3, 1086, 276, 227, 238, 345, 0
LKAP-Gut2_H07_049.seq, Shewanella_pneumatophori, 0, 1097.5, 1068, 272, 220, 235, 341, 0
LKAP-Gut2_G12_084.seq, Vibrio_tubiashii, 0, 1293.8, 1001, 256, 206, 215, 324, 0
LKAP-Gut2_E11_087.seq, Thalassospira_xianhensis, 0, 1059.6, 1031, 258, 212, 234, 327, 0
LKAP-Gut2_H03_017.seq, Tenacibaculum_discolor, 1.5e-73, 239.1, 714, 183, 184, 170, 177, 0
LKAP-Gut2_B10_078.seq, Vibrio_tubiashii, 0, 1264.0, 1047, 260, 221, 225, 341, 0
LKAP-Gut2_F09_069.seq, Shewanella_pneumatophori, 0, 1101.5, 1081, 274, 223, 244, 340, 0
LKAP-Gut2_E04_024.seq, Rheinheimera_aquimaris, 0, 1090.3, 1105, 281, 235, 243, 346, 0
LKAP-Gut2_F04_021.seq, Sedimentitalea_nanhaiensis, 0, 1113.2, 1067, 270, 229, 241, 327, 0
LKAP-Gut2_G03_019.seq, Tenacibaculum_ascidiaceicola, 0, 1104.1, 1074, 302, 263, 208, 301, 0
LKAP-Gut2_C05_043.seq, Shewanella_fidelis, 0, 1116.9, 1082, 274, 224, 241, 343, 0
LKAP-Gut2_D03_025.seq, Vibrio_tubiashii, 0, 1309.1, 1086, 271, 235, 236, 344, 0
LKAP-Gut2_E10_072.seq, Micrococcus_aloeverae, 0, 1085.0, 1056, 239, 213, 247, 357, 0
LKAP-Gut2_D05_041.seq, Vibrio_tubiashii, 0, 1360.1, 1093, 273, 235, 237, 348, 0
LKAP-Gut2_G01_003.seq, Aliivibrio_fischeri, 0, 1050.4, 1051, 273, 224, 220, 334, 0
LKAP-Gut2_E09_071.seq, Vibrio_tubiashii, 0, 1324.2, 1081, 268, 227, 233, 353, 0
LKAP-Gut2_E03_023.seq, Algibacter_aquimarinus, 8.9e-303, 997.0, 1081, 290, 255, 223, 313, 0
LKAP-Gut2_G07_051.seq, Shewanella_xiamenensis, 1.8e-54, 177.8, 1006, 238, 254, 258, 256, 0
LKAP-Gut2_D02_010.seq, Vibrio_tubiashii, 0, 1297.5, 1085, 270, 238, 233, 344, 0
LKAP-Gut2_F06_038.seq, Vibrio_tubiashii, 0, 1382.0, 1091, 270, 232, 238, 351, 0
LKAP-Gut2_F05_037.seq, Thalassobius_mediterraneus, 7.5e-300, 986.8, 1030, 258, 221, 232, 319, 0
LKAP-Gut2_A12_096.seq, Sedimentitalea_nanhaiensis, 8.3e-307, 1007.9, 999, 254, 215, 220, 310, 0
LKAP-Gut2_D08_058.seq, Vibrio_tubiashii, 0, 1358.6, 1079, 273, 229, 231, 346, 0
LKAP-Gut2_G08_052.seq, Sedimentitalea_nanhaiensis, 0, 1067.2, 1025, 259, 221, 232, 313, 0
LKAP-Gut2_F10_070.seq, Vibrio_tubiashii, 0, 1270.8, 1062, 263, 224, 229, 346, 0
LKAP-Gut2_H08_050.seq, Vibrio_tubiashii, 0, 1278.1, 1059, 260, 223, 231, 345, 0
LKAP-Gut2_C09_075.seq, Shewanella_fidelis, 0, 1103.9, 1065, 270, 217, 236, 342, 0
LKAP-Gut2_D12_090.seq, Sedimentitalea_nanhaiensis, 0, 1014.9, 1007, 259, 213, 223, 312, 0
LKAP-Gut2_H05_033.seq, Vibrio_tubiashii, 7.3e-132, 434.2, 766, 180, 193, 183, 210, 0
LKAP-Gut2_F11_085.seq, Thalassobius_mediterraneus, 1.9e-298, 982.1, 1027, 256, 216, 235, 320, 0
LKAP-Gut2_D06_042.seq, Sedimentitalea_nanhaiensis, 0, 1107.9, 1087, 275, 230, 243, 339, 0
LKAP-Gut2_A11_095.seq, Sedimentitalea_nanhaiensis, 0, 1039.6, 1018, 264, 215, 230, 309, 0
LKAP-Gut2_F01_055.seq, Sedimentitalea_nanhaiensis, 0, 1074.3, 1017, 259, 220, 227, 311, 0
LKAP-Gut2_E01_007.seq, Vibrio_tubiashii, 0, 1240.4, 1052, 263, 232, 221, 336, 0
LKAP-Gut2_G09_067.seq, Sedimentitalea_nanhaiensis, 0, 1080.7, 1054, 268, 225, 239, 322, 0
LKAP-Gut2_D01_009.seq, Sedimentitalea_nanhaiensis, 1.1e-307, 1010.8, 995, 255, 212, 219, 309, 0
LKAP-Gut2_G06_036.seq, Thalassobius_mediterraneus, 2.7e-296, 975.0, 1017, 252, 217, 231, 317, 0
LKAP-Gut2_H09, Nereida_ignava, 3.4e-12, 31.2, 535, 123, 153, 135, 124, 0
LKAP-Gut2_C08_060.seq, Colwellia_psychrerythraea, 6e-200, 657.3, 1061, 246, 285, 244, 286, 0
LKAP-Gut2_C06_044.seq, Algibacter_aquimarinus, 2.6e-300, 988.9, 1083, 293, 252, 223, 315, 0
LKAP-Gut2_A06_048.seq, Pseudophaeobacter_arcticus, 0, 1046.6, 1059, 267, 225, 242, 325, 0
LKAP-Gut2_H12_082.seq, Alcaligenes_pakistanensis, 2.2e-07, 16.4, 398, 105, 108, 75, 110, 0
LKAP-Gut2_A10_080.seq, Neiella_marina, 1.4e-18, 52.1, 556, 136, 137, 109, 174, 0
LKAP-Gut2_G10_068.seq, Shewanella_pneumatophori, 0, 1076.1, 1058, 269, 222, 230, 337, 0
LKAP-Gut2_H11_081.seq, Shewanella_colwelliana, 5.2e-63, 205.1, 464, 114, 108, 114, 128, 0
LKAP-Gut2_G05_035.seq, Algibacter_aquimarinus, 3.8e-295, 971.7, 1067, 288, 249, 221, 309, 0
LKAP-Gut2_A07_063.seq, Vibrio_tubiashii, 0, 1285.3, 1058, 268, 220, 230, 340, 0
LKAP-Gut2_F03_021.seq, Pseudophaeobacter_arcticus, 0, 1062.5, 1076, 270, 224, 246, 336, 0
LKAP-Gut2_D11_089.seq, Vibrio_tubiashii, 0, 1236.8, 1045, 261, 223, 223, 338, 0
LKAP-Gut2_B02_014.seq, Vibrio_tubiashii, 0, 1272.9, 1079, 274, 226, 234, 345, 0
LKAP-GutHK_A01_015, Vibrio_tubiashii, 0, 1178.8, 983, 255, 202, 214, 312, 0
LKAP-GutHK_A02_016, Vibrio_tubiashii, 0, 1193.8, 989, 258, 203, 213, 315, 0
LKAP-GutHK_A03_031, Shewanella_aestuarii, 3.4e-301, 994.2, 993, 253, 200, 217, 323, 0
LKAP-GutHK_A04_032, Enterovibrio_coralii, 3.7e-290, 954.0, 997, 252, 197, 219, 329, 0
LKAP-GutHK_A05_047, Vibrio_tubiashii, 0, 1204.3, 1005, 254, 210, 213, 328, 0
LKAP-GutHK_A06_048, Vibrio_tubiashii, 0, 1261.5, 982, 250, 200, 212, 320, 0
LKAP-GutHK_A07_063, Vibrio_tubiashii, 0, 1253.1, 988, 253, 200, 213, 322, 0
LKAP-GutHK_A08_064, Vibrio_tubiashii, 0, 1254.3, 987, 250, 203, 211, 323, 0
LKAP-GutHK_A09_079, Vibrio_tubiashii, 0, 1186.3, 976, 251, 200, 209, 316, 0
LKAP-GutHK_A10_080, Shewanella_marisflavi, 5.8e-283, 934.0, 971, 247, 189, 218, 317, 0
LKAP-GutHK_A11_095, Vibrio_tubiashii, 0, 1146.4, 938, 237, 193, 197, 311, 0
LKAP-GutHK_A12_096, Vibrio_tubiashii, 0, 1174.8, 927, 235, 186, 197, 309, 0
LKAP-GutHK_B01_013, Vibrio_tubiashii, 0, 1264.6, 989, 252, 200, 211, 326, 0
LKAP-GutHK_B02_014, Vibrio_tubiashii, 0, 1274.9, 1004, 254, 205, 218, 327, 0
LKAP-GutHK_B03_029, Vibrio_tubiashii, 0, 1262.5, 1007, 257, 208, 214, 328, 0
LKAP-GutHK_B04_030, Vibrio_tubiashii, 0, 1252.4, 999, 255, 205, 213, 326, 0
LKAP-GutHK_B05_045, Vibrio_tubiashii, 0, 1187.4, 1003, 261, 205, 217, 320, 0
LKAP-GutHK_B06_046, Vibrio_tubiashii, 0, 1273.6, 1013, 253, 206, 219, 335, 0
LKAP-GutHK_B07_061, Shewanella_marisflavi, 1.4e-289, 955.9, 1008, 257, 199, 224, 328, 0
LKAP-GutHK_B08_062, Shewanella_marisflavi, 9.8e-290, 956.4, 991, 254, 198, 218, 321, 0
LKAP-GutHK_B09_077, Vibrio_tubiashii, 0, 1193.3, 983, 255, 202, 211, 315, 0
LKAP-GutHK_B10_078, Vibrio_tubiashii, 0, 1149.4, 950, 245, 191, 202, 312, 0
LKAP-GutHK_B11_093, Vibrio_tubiashii, 0, 1198.0, 949, 236, 187, 203, 323, 0
LKAP-GutHK_B12_094, Vibrio_tubiashii, 0, 1168.2, 922, 232, 183, 196, 311, 0
LKAP-GutHK_C01_011, Vibrio_tubiashii, 0, 1202.3, 990, 253, 200, 214, 323, 0
LKAP-GutHK_C02_012, Vibrio_tubiashii, 0, 1277.5, 1006, 255, 206, 217, 328, 0
LKAP-GutHK_C03_027, Vibrio_tubiashii, 0, 1203.1, 1004, 255, 206, 215, 328, 0
LKAP-GutHK_C04_028, Enterovibrio_coralii, 2.4e-301, 991.1, 1019, 252, 204, 222, 341, 0
LKAP-GutHK_C05_043, Enterovibrio_coralii, 1.2e-289, 952.4, 1020, 253, 209, 219, 339, 0
LKAP-GutHK_C06_044, Enterovibrio_coralii, 6.2e-299, 983.1, 1012, 251, 207, 220, 334, 0
LKAP-GutHK_C07_059, Enterovibrio_coralii, 4.5e-292, 960.4, 1000, 250, 202, 218, 330, 0
LKAP-GutHK_C08_060, Enterovibrio_norvegicus, 1.7e-289, 951.9, 1000, 252, 200, 220, 328, 0
LKAP-GutHK_C09_075, Enterovibrio_coralii, 2.7e-292, 961.1, 987, 251, 198, 215, 323, 0
LKAP-GutHK_C10_076, Vibrio_tubiashii, 0, 1197.8, 955, 237, 194, 203, 321, 0
LKAP-GutHK_C11_091, Vibrio_tubiashii, 0, 1207.4, 951, 242, 190, 202, 317, 0
LKAP-GutHK_C12_092, Enterovibrio_coralii, 1.5e-275, 905.6, 933, 231, 187, 201, 314, 0
LKAP-GutHK_D01_009, Enterovibrio_norvegicus, 7.5e-294, 966.2, 989, 249, 203, 214, 323, 0
LKAP-GutHK_D02_010, Enterovibrio_norvegicus, 2.6e-293, 964.5, 1003, 250, 202, 218, 333, 0
LKAP-GutHK_D03_025, Enterovibrio_coralii, 3.4e-293, 964.1, 996, 251, 201, 217, 327, 0
LKAP-GutHK_D04_026, Enterovibrio_coralii, 5.8e-294, 966.7, 1026, 258, 205, 227, 336, 0
LKAP-GutHK_D05_041, Vibrio_tubiashii, 0, 1243.4, 1011, 253, 210, 218, 330, 0
LKAP-GutHK_D06_042, Enterovibrio_coralii, 1.2e-296, 975.6, 1018, 251, 206, 222, 339, 0
LKAP-GutHK_D07_057, Shewanella_marisflavi, 0, 1025.6, 1004, 257, 204, 219, 324, 0
LKAP-GutHK_D08_058, Enterovibrio_coralii, 8e-294, 966.2, 988, 249, 196, 213, 330, 0
LKAP-GutHK_D09_073, Aliivibrio_fischeri, 8.7e-306, 1006.1, 983, 259, 204, 209, 311, 0
LKAP-GutHK_D10_074, Enterovibrio_coralii, 1.2e-281, 925.9, 984, 244, 197, 219, 324, 0
LKAP-GutHK_D11_089, Vibrio_tubiashii, 0, 1056.1, 882, 219, 179, 185, 299, 0
LKAP-GutHK_D12_090, Vibrio_tubiashii, 0, 1162.8, 929, 235, 186, 197, 311, 0
LKAP-GutHK_E01_007, Enterovibrio_coralii, 3.9e-289, 950.6, 976, 245, 195, 214, 322, 0
LKAP-GutHK_E02_008, Enterovibrio_norvegicus, 1.4e-290, 955.4, 981, 243, 197, 217, 324, 0
LKAP-GutHK_E03_023, Enterovibrio_coralii, 2.9e-294, 967.6, 988, 247, 198, 216, 327, 0
LKAP-GutHK_E04_024, Vibrio_tubiashii, 0, 1236.7, 1015, 257, 211, 216, 331, 0
LKAP-GutHK_E05_039, Vibrio_tubiashii, 0, 1206.6, 1006, 262, 203, 217, 324, 0
LKAP-GutHK_E06_040, Vibrio_tubiashii, 0, 1271.2, 1011, 256, 207, 214, 334, 0
LKAP-GutHK_E07_055, Enterovibrio_coralii, 7.4e-293, 963.0, 1006, 250, 204, 220, 332, 0
LKAP-GutHK_E08_056, Vibrio_tubiashii, 0, 1267.3, 1003, 253, 205, 216, 329, 0
LKAP-GutHK_E09_071, Enterovibrio_coralii, 2.3e-290, 954.7, 973, 240, 197, 212, 324, 0
LKAP-GutHK_E10_072, Ralstonia_syzygii, 5.8e-139, 454.0, 945, 200, 256, 213, 276, 0
LKAP-GutHK_E11_087, Enterovibrio_coralii, 1.8e-276, 908.7, 936, 230, 189, 201, 316, 0
LKAP-GutHK_E12_088, Vibrio_tubiashii, 0, 1185.9, 937, 234, 189, 199, 315, 0
LKAP-GutHK_F01_005, Aliivibrio_fischeri, 1.1e-292, 962.8, 979, 252, 209, 212, 306, 0
LKAP-GutHK_F02_006, Enterovibrio_coralii, 3.2e-295, 970.8, 1009, 251, 208, 218, 332, 0
LKAP-GutHK_F03_021, Vibrio_tubiashii, 0, 1271.4, 1006, 257, 206, 214, 329, 0
LKAP-GutHK_F04_022, Vibrio_tubiashii, 0, 1247.9, 1010, 256, 210, 214, 330, 0
LKAP-GutHK_F05_037, Enterovibrio_coralii, 5.9e-292, 960.0, 1018, 250, 206, 223, 339, 0
LKAP-GutHK_F06_038, Vibrio_tubiashii, 0, 1221.4, 1009, 258, 209, 216, 326, 0
LKAP-GutHK_F07_053, Enterovibrio_coralii, 1.1e-291, 959.1, 995, 251, 201, 218, 325, 0
LKAP-GutHK_F08_054, Enterovibrio_norvegicus, 5e-293, 963.6, 1005, 251, 204, 217, 333, 0
LKAP-GutHK_F09_069, Vibrio_tubiashii, 0, 1199.0, 993, 253, 204, 214, 322, 0
LKAP-GutHK_F10_070, Vibrio_tubiashii, 0, 1198.8, 977, 248, 198, 208, 323, 0
LKAP-GutHK_F11_085, Vibrio_tubiashii, 0, 1169.6, 924, 233, 185, 195, 311, 0
LKAP-GutHK_F12_086, Vibrio_tubiashii, 0, 1128.4, 924, 231, 186, 197, 310, 0
LKAP-GutHK_G01_003, Enterovibrio_coralii, 3.7e-294, 967.3, 986, 245, 196, 218, 327, 0
LKAP-GutHK_G02_004, Enterovibrio_coralii, 3.5e-290, 954.1, 976, 242, 196, 215, 323, 0
LKAP-GutHK_G03_019, Enterovibrio_coralii, 8.1e-292, 959.5, 992, 249, 197, 217, 329, 0
LKAP-GutHK_G04_020, Enterovibrio_coralii, 1.4e-290, 955.5, 1006, 248, 202, 221, 335, 0
LKAP-GutHK_G05_035, Aliivibrio_fischeri, 0, 1023.8, 1010, 268, 208, 214, 320, 0
LKAP-GutHK_G06_036, Vibrio_tubiashii, 0, 1239.3, 987, 253, 201, 215, 318, 0
LKAP-GutHK_G07_051, Vibrio_tubiashii, 0, 1188.6, 990, 254, 201, 212, 323, 0
LKAP-GutHK_G08_052, Enterovibrio_norvegicus, 3.3e-289, 950.9, 984, 246, 199, 214, 325, 0
LKAP-GutHK_G09_067, Vibrio_tubiashii, 0, 1202.4, 977, 251, 200, 212, 314, 0
LKAP-GutHK_G10_068, Enterovibrio_coralii, 6.2e-286, 940.0, 970, 244, 196, 211, 319, 0
LKAP-GutHK_G11_083, Vibrio_tubiashii, 0, 1193.7, 940, 237, 190, 198, 315, 0
LKAP-GutHK_G12_084, Enterovibrio_coralii, 1e-274, 902.9, 930, 228, 185, 199, 318, 0
LKAP-GutHK_H01_001, Vibrio_tubiashii, 0, 1241.9, 971, 246, 199, 207, 319, 0
LKAP-GutHK_H02_002, Enterovibrio_coralii, 2.4e-290, 954.7, 990, 247, 200, 215, 328, 0
LKAP-GutHK_H03_017, Enterovibrio_norvegicus, 2.3e-286, 941.5, 981, 244, 199, 217, 321, 0
LKAP-GutHK_H04_018, Enterovibrio_coralii, 6e-290, 953.3, 983, 246, 199, 215, 323, 0
LKAP-GutHK_H05_033, Enterovibrio_coralii, 1.2e-291, 959.0, 993, 249, 197, 218, 329, 0
LKAP-GutHK_H06_034, Vibrio_tubiashii, 0, 1182.2, 983, 256, 204, 207, 316, 0
LKAP-GutHK_H07_049, Vibrio_tubiashii, 0, 1185.8, 985, 252, 201, 211, 321, 0
LKAP-GutHK_H08_050, Vibrio_tubiashii, 0, 1252.8, 982, 250, 201, 210, 321, 0
LKAP-GutHK_H09_065, Enterovibrio_coralii, 3.5e-288, 947.5, 977, 242, 197, 213, 325, 0
LKAP-GutHK_H10_066, Enterovibrio_norvegicus, 1.8e-285, 938.5, 968, 239, 194, 212, 323, 0
LKAP-GutHK_H11_081, Enterovibrio_coralii, 6.5e-274, 900.2, 948, 233, 186, 206, 323, 0
LKAP-GUTHK2_A08_064_2017_1, Exiguobacterium_marinum, 2.2e-265, 873.6, 879, 217, 167, 205, 290, 0
LKAP-GUTHK2_G09_067_2017_1, Ralstonia_syzygii, 0, 1329.0, 1107, 289, 230, 234, 354, 0
LKAP-GUTHK2_D03_025_2017_1, Vibrio_tubiashii, 0, 1348.1, 1208, 290, 261, 271, 386, 0
LKAP-GUTHK2_A07_063_2017_1, Planococcus_maritimus, 2.5e-263, 866.5, 882, 214, 174, 204, 290, 0
LKAP-GUTHK2_H10_066_2017_1, Vibrio_tubiashii, 4e-295, 975.8, 1057, 242, 239, 254, 322, 0
LKAP-GUTHK2_B06_046_2017_1, Exiguobacterium_aestuarii, 0, 1075.1, 1213, 285, 246, 285, 397, 0
LKAP-GUTHK2_H01_001_2017_1, Microbacterium_foliorum, 0, 1117.4, 1184, 274, 241, 275, 394, 0
LKAP-GUTHK2_E04_024_2017_1, Vibrio_tubiashii, 0, 1210.3, 1061, 265, 229, 227, 340, 0
LKAP-GUTHK2_G05_035_2017_1, Microbacterium_foliorum, 0, 1161.7, 1283, 299, 254, 298, 432, 0
LKAP-GUTHK2_D11_089_2017_1, Vibrio_tubiashii, 0, 1124.2, 951, 235, 198, 202, 316, 0
LKAP-GUTHK2_H11_081_2017_1, Nesterenkonia_sandarakina, 0, 1169.0, 1241, 282, 247, 296, 416, 0
LKAP-GUTHK2_A01_015_2017_1, Exiguobacterium_marinum, 8.8e-241, 792.3, 956, 258, 184, 218, 296, 0
LKAP-GUTHK2_D09_073_2017_1, Vibrio_tubiashii, 0, 1183.1, 1036, 260, 218, 224, 334, 0
LKAP-GUTHK2_E10_072_2017_1, Vibrio_tubiashii, 0, 1406.3, 1261, 318, 262, 281, 400, 0
LKAP-GUTHK2_G10_068_2017_1, Leucobacter_chromiireducens, 0, 1336.9, 1255, 292, 252, 296, 415, 0
LKAP-GUTHK2_G08_052_2017_1, Ralstonia_syzygii, 0, 1309.2, 1153, 299, 242, 246, 366, 0
LKAP-GUTHK2_D07_057_2017_1, Vibrio_tubiashii, 0, 1389.6, 1265, 317, 261, 281, 406, 0
LKAP-GUTHK2_H08_050_2017_1, Salipaludibacillus_agaradhaerens, 1.3e-259, 852.5, 1152, 287, 222, 278, 365, 0
LKAP-GUTHK2_D12_090_2017_1, Vibrio_tubiashii, 7.8e-222, 732.1, 648, 163, 135, 137, 213, 0
LKAP-GUTHK2_F05_037_2017_1, Exiguobacterium_marinum, 1.4e-270, 890.9, 954, 232, 184, 217, 321, 0
LKAP-GUTHK2_F06_038_2017_1, Exiguobacterium_marinum, 0, 1060.6, 1205, 290, 244, 278, 393, 0
LKAP-GUTHK2_C01_011_2017_1, Exiguobacterium_marinum, 5e-283, 932.1, 959, 239, 182, 218, 320, 0
LKAP-GUTHK2_D02_010_2017_1, Vibrio_tubiashii, 0, 1400.3, 1247, 318, 261, 276, 392, 0
LKAP-GUTHK2_H07_049_2017_1, Vibrio_tubiashii, 0, 1283.5, 1155, 289, 237, 256, 373, 0
LKAP-GUTHK2_G06_036_Q_2017_1, Leucobacter_chromiireducens, 0, 1360.9, 1275, 299, 256, 297, 423, 0
LKAP-GUTHK2_G03_019_2017_1, Leucobacter_chromiireducens, 0, 1362.7, 1282, 297, 267, 298, 420, 0
LKAP-GUTHK2_E09_071_2017_1, Vibrio_tubiashii, 0, 1396.9, 1261, 313, 264, 278, 406, 0
LKAP-GUTHK2_F10_070_2017_1, Vibrio_tubiashii, 0, 1357.6, 1216, 305, 253, 271, 387, 0
LKAP-GUTHK2_C04_028_2017_1, Exiguobacterium_aestuarii, 2.5e-299, 986.3, 1145, 283, 232, 273, 357, 0
LKAP-GUTHK2_D04_026_2017_1, Vibrio_tubiashii, 0, 1370.6, 1255, 312, 273, 279, 391, 0
LKAP-GUTHK2_D06_042_2017_1, Vibrio_tubiashii, 0, 1137.1, 1025, 264, 216, 218, 327, 0
LKAP-GUTHK2_C10_076_2017_1, Vibrio_tubiashii, 0, 1375.8, 1214, 300, 255, 268, 391, 0
LKAP-GUTHK2_A02_016_2017_1, Ralstonia_syzygii, 5.1e-249, 818.6, 882, 213, 199, 201, 269, 0
LKAP-GUTHK2_D01_009_2017_1, Vibrio_tubiashii, 0, 1261.4, 1176, 305, 256, 249, 366, 0
LKAP-GUTHK2_A03_031_2017_1, Exiguobacterium_aestuarii, 3.2e-306, 1009.0, 1075, 263, 212, 248, 352, 0
LKAP-GUTHK2_B07_061_2017_1, Exiguobacterium_oxidotolerans, 0, 1052.1, 1202, 296, 246, 266, 394, 0
LKAP-GUTHK2_E01_007_2017_1, Vibrio_tubiashii, 0, 1105.3, 1033, 261, 221, 218, 333, 0
LKAP-GUTHK2_F12_086_2017_1, Planococcus_maritimus, 3.6e-239, 786.4, 793, 196, 154, 182, 261, 0
LKAP-GUTHK2_D08_058_2017_1, Vibrio_tubiashii, 0, 1108.2, 1100, 276, 240, 253, 331, 0
LKAP-GUTHK2_H03_017_2017_1, Vibrio_tubiashii, 0, 1493.9, 1268, 314, 261, 280, 413, 0
LKAP-GUTHK2_C11_091_2017_1, Exiguobacterium_marinum, 2.5e-245, 807.1, 836, 204, 159, 191, 282, 0
LKAP-GUTHK2_E08_056_2017_1, Vibrio_tubiashii, 0, 1382.7, 1196, 295, 248, 259, 394, 0
LKAP-GUTHK2_C02_012_2017_1, Planococcus_maritimus, 2.8e-272, 896.3, 1056, 254, 226, 251, 325, 0
LKAP-GUTHK2_E12_088_2017_1, Vibrio_tubiashii, 1.1e-271, 897.7, 840, 210, 172, 176, 282, 0
LKAP-GUTHK2_F08_054_2017_1, Vibrio_tubiashii, 0, 1398.0, 1244, 315, 261, 280, 388, 0
LKAP-GUTHK2_B03_029_2017_1, Exiguobacterium_aestuarii, 0, 1021.8, 1040, 255, 192, 243, 350, 0
LKAP-GUTHK2_B11_093_2017_1, Ralstonia_syzygii, 1.9e-149, 487.9, 559, 138, 116, 130, 175, 0
LKAP-GUTHK2_E07_055_2017_1, Vibrio_tubiashii, 0, 1381.3, 1246, 318, 265, 276, 387, 0
LKAP-GUTHK2_G12_084_2017_1, Microbacterium_foliorum, 4e-290, 958.4, 1021, 247, 201, 240, 333, 0
LKAP-GUTHK2_H04_018_2017_1, Shewanella_aestuarii, 0, 1171.6, 1267, 317, 271, 283, 396, 0
LKAP-GUTHK2_B02_014_2017_1, Exiguobacterium_marinum, 3.2e-190, 624.6, 713, 186, 129, 166, 232, 0
LKAP-GUTHK2_G01_003_2017_1, Vibrio_tubiashii, 0, 1055.7, 1014, 256, 220, 215, 323, 0
LKAP-GUTHK2_F04_022_2017_1, Planococcus_maritimus, 0, 1095.2, 1139, 266, 233, 267, 373, 0
LKAP-GUTHK2_C09_075_2017_1, Vibrio_tubiashii, 0, 1286.9, 1103, 276, 235, 242, 350, 0
LKAP-GUTHK2_H05_033_2017_1, Vibrio_tubiashii, 0, 1402.8, 1253, 314, 267, 279, 393, 0
LKAP-GUTHK2_E03_023_2017_1, Vibrio_tubiashii, 0, 1272.1, 1078, 263, 235, 229, 351, 0
LKAP-GUTHK2_F09_069_2017_1, Vibrio_tubiashii, 0, 1328.5, 1228, 303, 254, 270, 401, 0
LKAP-GUTHK2_G02_004_2017_1, Vibrio_tubiashii, 0, 1365.9, 1200, 304, 265, 259, 372, 0
LKAP-GUTHK2_C12_092_2017_1, Vibrio_tubiashii, 2.2e-222, 734.0, 649, 165, 136, 135, 213, 0
LKAP-GUTHK2_A04_032_2017_1, Ralstonia_syzygii, 0, 1090.5, 926, 242, 189, 194, 301, 0
